step	vlm_group_size	expert_group_size	vlm_grad_norm	expert_grad_norm_before_clip	expert_grad_norm_after_clip	expert_clip_threshold	expert_clip_scale	expert_clip_applied	expert_clip_skipped_no_vlm
0	180	76	0.21167935	0.23610871	0.21167845	0.21167935	0.89653346	1	0
10	180	76	0.06997393	0.07979367	0.06997305	0.06997393	0.87693587	1	0
20	180	76	0.04135460	0.06250351	0.04135394	0.04135460	0.66163646	1	0
30	180	76	0.10041898	0.12884624	0.10041820	0.10041898	0.77937063	1	0
40	180	76	0.09806196	0.11992209	0.09806114	0.09806196	0.81771396	1	0
50	180	76	0.09465405	0.09053712	0.09053712	0.09465405	1.00000000	0	0
60	180	76	0.19682559	0.21119784	0.19682467	0.19682559	0.93194890	1	0
70	180	76	0.06426965	0.06321801	0.06321801	0.06426965	1.00000000	0	0
80	180	76	0.19670032	0.18533964	0.18533964	0.19670032	1.00000000	0	0
90	180	76	0.19100598	0.16005544	0.16005544	0.19100598	1.00000000	0	0
100	180	76	0.10980291	0.10628208	0.10628208	0.10980291	1.00000000	0	0
110	180	76	0.08187716	0.06496343	0.06496343	0.08187716	1.00000000	0	0
120	180	76	0.11871888	0.09088314	0.09088314	0.11871888	1.00000000	0	0
130	180	76	0.40951374	0.31055498	0.31055498	0.40951374	1.00000000	0	0
140	180	76	0.21786816	0.17506887	0.17506887	0.21786816	1.00000000	0	0
150	180	76	0.22617599	0.16278981	0.16278981	0.22617599	1.00000000	0	0
160	180	76	0.20040564	0.12476034	0.12476034	0.20040564	1.00000000	0	0
170	180	76	0.39996710	0.27478975	0.27478975	0.39996710	1.00000000	0	0
180	180	76	0.62845647	0.43702245	0.43702245	0.62845647	1.00000000	0	0
190	180	76	1.07965624	0.83427805	0.83427805	1.07965624	1.00000000	0	0
200	180	76	0.28112456	0.17248420	0.17248420	0.28112456	1.00000000	0	0
210	180	76	0.39258933	0.23039560	0.23039560	0.39258933	1.00000000	0	0
220	180	76	0.39263666	0.24915823	0.24915823	0.39263666	1.00000000	0	0
230	180	76	0.32071954	0.26125968	0.26125968	0.32071954	1.00000000	0	0
240	180	76	0.11108356	0.07621686	0.07621686	0.11108356	1.00000000	0	0
250	180	76	0.23837833	0.16597942	0.16597942	0.23837833	1.00000000	0	0
260	180	76	0.32255921	0.21399729	0.21399729	0.32255921	1.00000000	0	0
270	180	76	0.15881234	0.11330806	0.11330806	0.15881234	1.00000000	0	0
280	180	76	0.33107731	0.20468417	0.20468417	0.33107731	1.00000000	0	0
290	180	76	0.25939661	0.17209023	0.17209023	0.25939661	1.00000000	0	0
300	180	76	0.31368077	0.20318976	0.20318976	0.31368077	1.00000000	0	0
310	180	76	0.21625024	0.15528253	0.15528253	0.21625024	1.00000000	0	0
320	180	76	0.26503643	0.18504310	0.18504310	0.26503643	1.00000000	0	0
330	180	76	0.45733255	0.31868520	0.31868520	0.45733255	1.00000000	0	0
340	180	76	0.33232278	0.20783287	0.20783287	0.33232278	1.00000000	0	0
350	180	76	0.28980514	0.19494034	0.19494034	0.28980514	1.00000000	0	0
360	180	76	0.18746607	0.12474518	0.12474518	0.18746607	1.00000000	0	0
370	180	76	0.23888916	0.11386066	0.11386066	0.23888916	1.00000000	0	0
380	180	76	0.37808719	0.17467554	0.17467554	0.37808719	1.00000000	0	0
390	180	76	0.20857170	0.10225040	0.10225040	0.20857170	1.00000000	0	0
400	180	76	0.32049683	0.16795674	0.16795674	0.32049683	1.00000000	0	0
410	180	76	0.19857396	0.07448418	0.07448418	0.19857396	1.00000000	0	0
420	180	76	0.35168496	0.14376070	0.14376070	0.35168496	1.00000000	0	0
430	180	76	0.40130988	0.21765688	0.21765688	0.40130988	1.00000000	0	0
440	180	76	0.36611843	0.16304998	0.16304998	0.36611843	1.00000000	0	0
450	180	76	0.27640942	0.12532021	0.12532021	0.27640942	1.00000000	0	0
460	180	76	0.24124128	0.09337559	0.09337559	0.24124128	1.00000000	0	0
470	180	76	0.30315611	0.10384934	0.10384934	0.30315611	1.00000000	0	0
480	180	76	0.46670380	0.18235412	0.18235412	0.46670380	1.00000000	0	0
490	180	76	0.23456958	0.09516042	0.09516042	0.23456958	1.00000000	0	0
500	180	76	0.43936518	0.15586880	0.15586880	0.43936518	1.00000000	0	0
510	180	76	0.22255500	0.07830785	0.07830785	0.22255500	1.00000000	0	0
520	180	76	0.32201627	0.09485398	0.09485398	0.32201627	1.00000000	0	0
530	180	76	0.29283938	0.10058311	0.10058311	0.29283938	1.00000000	0	0
540	180	76	0.30515108	0.15850921	0.15850921	0.30515108	1.00000000	0	0
550	180	76	0.31004450	0.11037582	0.11037582	0.31004450	1.00000000	0	0
560	180	76	0.32084036	0.11333621	0.11333621	0.32084036	1.00000000	0	0
570	180	76	0.37970397	0.12179825	0.12179825	0.37970397	1.00000000	0	0
580	180	76	0.30761042	0.12750261	0.12750261	0.30761042	1.00000000	0	0
590	180	76	0.32859844	0.11881482	0.11881482	0.32859844	1.00000000	0	0
600	180	76	0.34270903	0.11175315	0.11175315	0.34270903	1.00000000	0	0
610	180	76	0.27687907	0.09263802	0.09263802	0.27687907	1.00000000	0	0
620	180	76	0.25009507	0.11201509	0.11201509	0.25009507	1.00000000	0	0
630	180	76	0.24945343	0.09290112	0.09290112	0.24945343	1.00000000	0	0
640	180	76	0.40341392	0.12717173	0.12717173	0.40341392	1.00000000	0	0
650	180	76	0.55020863	0.15574323	0.15574323	0.55020863	1.00000000	0	0
660	180	76	0.34931806	0.10862725	0.10862725	0.34931806	1.00000000	0	0
670	180	76	0.25913602	0.10042053	0.10042053	0.25913602	1.00000000	0	0
680	180	76	0.38129079	0.14381386	0.14381386	0.38129079	1.00000000	0	0
690	180	76	0.38350165	0.11769007	0.11769007	0.38350165	1.00000000	0	0
700	180	76	0.32630739	0.11168749	0.11168749	0.32630739	1.00000000	0	0
710	180	76	0.83610374	0.21292868	0.21292868	0.83610374	1.00000000	0	0
720	180	76	0.26249602	0.08999033	0.08999033	0.26249602	1.00000000	0	0
730	180	76	0.33534750	0.11386094	0.11386094	0.33534750	1.00000000	0	0
740	180	76	0.79589289	0.22616878	0.22616878	0.79589289	1.00000000	0	0
750	180	76	0.24812292	0.08728985	0.08728985	0.24812292	1.00000000	0	0
760	180	76	0.23458521	0.07265677	0.07265677	0.23458521	1.00000000	0	0
770	180	76	0.61669517	0.21173908	0.21173908	0.61669517	1.00000000	0	0
780	180	76	0.31513947	0.11329761	0.11329761	0.31513947	1.00000000	0	0
790	180	76	0.42834944	0.13723072	0.13723072	0.42834944	1.00000000	0	0
800	180	76	0.52882826	0.15489037	0.15489037	0.52882826	1.00000000	0	0
810	180	76	0.35332292	0.12137004	0.12137004	0.35332292	1.00000000	0	0
820	180	76	0.78282452	0.19991866	0.19991866	0.78282452	1.00000000	0	0
830	180	76	0.62554902	0.16457082	0.16457082	0.62554902	1.00000000	0	0
840	180	76	0.38972321	0.11560085	0.11560085	0.38972321	1.00000000	0	0
850	180	76	0.32694420	0.09654199	0.09654199	0.32694420	1.00000000	0	0
860	180	76	0.44332814	0.14839017	0.14839017	0.44332814	1.00000000	0	0
870	180	76	0.27889490	0.08494452	0.08494452	0.27889490	1.00000000	0	0
880	180	76	0.48174885	0.13538468	0.13538468	0.48174885	1.00000000	0	0
890	180	76	0.23760509	0.07900912	0.07900912	0.23760509	1.00000000	0	0
900	180	76	0.26325175	0.09957668	0.09957668	0.26325175	1.00000000	0	0
910	180	76	0.21190134	0.07537171	0.07537171	0.21190134	1.00000000	0	0
920	180	76	0.38868487	0.13796885	0.13796885	0.38868487	1.00000000	0	0
930	180	76	0.44476449	0.12900959	0.12900959	0.44476449	1.00000000	0	0
940	180	76	0.21238655	0.07945347	0.07945347	0.21238655	1.00000000	0	0
950	180	76	0.52108556	0.15851530	0.15851530	0.52108556	1.00000000	0	0
960	180	76	0.29977602	0.10625230	0.10625230	0.29977602	1.00000000	0	0
970	180	76	0.59456974	0.16746114	0.16746114	0.59456974	1.00000000	0	0
980	180	76	0.29357132	0.09286365	0.09286365	0.29357132	1.00000000	0	0
990	180	76	0.30767927	0.10397563	0.10397563	0.30767927	1.00000000	0	0
1000	180	76	0.24306864	0.07585540	0.07585540	0.24306864	1.00000000	0	0
1010	180	76	0.65153062	0.19049290	0.19049290	0.65153062	1.00000000	0	0
1020	180	76	0.51860297	0.16565430	0.16565430	0.51860297	1.00000000	0	0
1030	180	76	0.36396259	0.12487958	0.12487958	0.36396259	1.00000000	0	0
1040	180	76	0.47216174	0.15448759	0.15448759	0.47216174	1.00000000	0	0
1050	180	76	0.31380859	0.10426921	0.10426921	0.31380859	1.00000000	0	0
1060	180	76	0.22427145	0.08208275	0.08208275	0.22427145	1.00000000	0	0
1070	180	76	0.47108200	0.14295290	0.14295290	0.47108200	1.00000000	0	0
1080	180	76	0.34972274	0.11422385	0.11422385	0.34972274	1.00000000	0	0
1090	180	76	0.31377393	0.10027041	0.10027041	0.31377393	1.00000000	0	0
1100	180	76	0.24444719	0.09393069	0.09393069	0.24444719	1.00000000	0	0
